movieName,name,year,rating,genre,image,summary
tt0327409,Alien Hunter ,2003,5.1,"Action,Adventure,Sci-Fi,19 July 2003 (USA)
","https://m.media-amazon.com/images/M/MV5BOGMyOGEwYTEtNTRlZS00ZDMxLTk4ZmUtYjdmOGFmMDEzMGQyXkEyXkFqcGdeQXVyODU2MDg1NzU@._V1_UY268_CR0,0,182,268_AL_.jpg","
                    An alien black box is found in the South Pole, where a government agency is conducting botanical experiments.
            "
tt0486583,Fred Claus ,2007,5.6,"Comedy,Family,Fantasy,9 November 2007 (USA)
","https://m.media-amazon.com/images/M/MV5BMTY0NDEwNzc0N15BMl5BanBnXkFtZTcwNjgxNzUzMw@@._V1_UX182_CR0,0,182,268_AL_.jpg","
                    Fred Claus, Santa's bitter older brother, is forced to move to the North Pole to help Santa and the elves prepare for Christmas in exchange for cash.
            "
tt0120102,Seven Years in Tibet ,1997,7.1,"Adventure,Biography,Drama,10 October 1997 (USA)
","https://m.media-amazon.com/images/M/MV5BYmM4ZDhhNmItMDEyZi00NDUyLTk3MzUtMzE5NTE1ZWM0N2UyXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_UY268_CR2,0,182,268_AL_.jpg","
                    True story of Heinrich Harrer, an Austrian mountain climber who became friends with the Dalai Lama at the time of China's takeover of Tibet.
            "
tt0035167,Pacific Rendezvous ,1942,6.1,"Comedy,Drama,Mystery,21 May 1942 (USA)
","https://m.media-amazon.com/images/M/MV5BZDE0MDdlMjUtNDNlMS00OGNlLTk2OWEtNDc5ZjIyMmM2ZjdmXkEyXkFqcGdeQXVyMzAwOTU1MTk@._V1_UY268_CR72,0,182,268_AL_.jpg","
                    Anxious to see some naval action in the Pacific during WWII, Lt. Bill Gordon makes the mistake of telling his new girlfriend, ditzy Elaine Carter, that he was an expert in deciphering codes...
                    "
tt0211846,Powerhouse             ,,8.4,"Adventure,Family,Mystery,TV Series (1982– )
","https://m.media-amazon.com/images/M/MV5BNzI1YTdiOGUtYjAxZS00NGQxLTkyZGEtMjgyZDg2ZDZiN2ViXkEyXkFqcGdeQXVyNTcyMjkxOTU@._V1_UY268_CR5,0,182,268_AL_.jpg","
                    The crime-fighting adventures of five members of an inner-city community center.
            "
tt0371282,Tales from Beyond ,2004,4.5,"Drama,Fantasy,Sci-Fi,9 September 2004 (USA)
","https://m.media-amazon.com/images/M/MV5BMTM0NjcxMjc4OF5BMl5BanBnXkFtZTcwMDM5MjQyMQ@@._V1_UY268_CR2,0,182,268_AL_.jpg","
                    A young couple looking for a gift enter a mysterious bookstore where they are magically transported into the worlds of the books.
            "
tt0888019,Five Across the Eyes ,2006,2.5,"Horror,October 2006 (USA)
","https://m.media-amazon.com/images/M/MV5BMTQ5ODk3NTM2Nl5BMl5BanBnXkFtZTcwMDU4NzA1MQ@@._V1_UX182_CR0,0,182,268_AL_.jpg","
                    The teenagers Isabella, Jamie, Melanie, Caroline and Stephanie are lost in a shortcut they took in their way back home. The inexperienced Bell is driving her mother's van and is worried ...
                    "
tt0407269,The Truth About Love ,2005,5.4,"Comedy,Romance,16 February 2007 (UK)
","https://m.media-amazon.com/images/M/MV5BMTQ3NTc3MDg3OF5BMl5BanBnXkFtZTcwMzUwNzYxNA@@._V1_UY268_CR4,0,182,268_AL_.jpg","
                    Drunk, Archie sends a valentine to his best friend's wife. She sends one to her husband. He hides it so she disguises herself as a slut. Will he cheat on his wife - with his wife? Let us see what happens.
            "
tt0119690,Mojo ,1997,5.3,"Drama,10 July 1998 (UK)
","https://m.media-amazon.com/images/M/MV5BMjhkNzFlYzMtNDJlZi00MDI3LWJkODItMTlhMTdjNzAxMmFmXkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_UX182_CR0,0,182,268_AL_.jpg","
                    The sexual rivalries over a new, potentially great rock'n'roll singer between a nightclub owner and a local gangster cause unrest and eventually lead to murder.
            "
tt0260924,A Gentleman's Game ,2002,6.4,"Drama,Sport,20 August 2002 (USA)
","https://m.media-amazon.com/images/M/MV5BMTkwNjU1ODI5OF5BMl5BanBnXkFtZTgwNTc1NTgwMzE@._V1_UY268_CR13,0,182,268_AL_.jpg","
                    A drama revolving around characters whose lives are transformed one summer at an exclusive East Coast country club.
            "
tt0109501,Cries from the Heart ,1994,6.7,"Drama,TV Movie 16 October 1994
","https://m.media-amazon.com/images/M/MV5BMTkzMjcxMjQ2OV5BMl5BanBnXkFtZTcwNTcwOTU0MQ@@._V1_UY268_CR8,0,182,268_AL_.jpg","
                    Michael, a young autistic boy who has trouble with verbalization but a real talent for technology, uses a computer to plead for help after being molested at his school.
            "
tt0337563,13 Going on 30 ,2004,6.1,"Comedy,Fantasy,Romance,23 April 2004 (USA)
","https://m.media-amazon.com/images/M/MV5BMjE1NzI5NTkwMF5BMl5BanBnXkFtZTYwOTA4NzY2._V1_UX182_CR0,0,182,268_AL_.jpg","
                    A girl makes a wish on her thirteenth birthday, and wakes up the next day as a thirty-year-old woman.
            "
tt0176318,The Week That Girl Died ,1998,8.1,"Drama,Comedy,16 October 1998 (USA)
","https://m.media-amazon.com/images/M/MV5BMmI0NWI1NjAtYWJkYy00ZGM4LWIzMDItZjhmOWJkOWQzMjVlXkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_UY268_CR0,0,182,268_AL_.jpg","
                    The lives of three lifelong buddies in a small New England fishing town will never be the same after The Week That Girl Died, a touching romantic comedy about finding Ms. Right-at all the ...
                    "
tt0049513,Moby Dick ,1956,7.3,"Adventure,Drama,8 November 1956 (UK)
","https://m.media-amazon.com/images/M/MV5BYzIxOWRlYjQtODQ0MS00NjZhLWJiZTUtZmRjZWI3OGNmMTA1XkEyXkFqcGdeQXVyNTEwNDcxNDc@._V1_UX182_CR0,0,182,268_AL_.jpg","
                    The sole survivor of a lost whaling ship relates the tale of his captain's self-destructive obsession to hunt the white whale, Moby Dick.
            "
